group_num,arabic_num,dots_num,pshare_conf1,c1_agreement,participant_sharing,c1,conf1,c2,conf2,correct_resp,c1_acc,c2_acc,conf_update,source_info,update,p_num,group_affiliation,resentie_v,resentie_r,attach_r,attach_v,identif_v,identif_r,favoritism_score,percent_agree_pshare,accuracy_over_time,percent_pshare_accuracy,percent_agree_pshare_accurate,scaled_update,trial_number,actual_p_num,local_percent_pshare_accuracy,local_percent_agree_pshare,local_accuracy_over_time,local_percent_agree_pshare_accurate,prefered_group
8,67.0,64.0,40,disagree,3,1,20,0,5,0,0,1,-15,outgroup,1,2,green,60,50,10,40,40,5,75,0.6667,0.6154,0.6667,0.3333,-0.75,12,2,0.6667,0.6667,0.7778,0.3333,1
8,54.0,57.0,40,disagree,3,1,30,1,20,1,1,1,-10,outgroup,0,2,green,60,50,10,40,40,5,75,0.5,0.6429,0.5,0.25,-0.3333333333333333,13,2,0.5,0.5,0.8889,0.25,1
8,64.0,59.0,10,agree,4,1,5,1,10,0,0,0,5,outgroup,0,2,green,60,50,10,40,40,5,75,0.6667,0.6,0.6667,0.3333,0.05263157894736842,14,2,0.6667,0.6667,0.8889,0.3333,1
8,63.0,62.0,30,agree,3,1,20,1,25,0,0,0,5,outgroup,0,2,green,60,50,10,40,40,5,75,0.6,0.5625,0.4,0.2,0.0625,15,2,0.4,0.6,0.7778,0.2,1
8,56.0,59.0,40,agree,3,1,50,1,50,1,1,1,0,outgroup,0,2,green,60,50,10,40,40,5,75,0.6667,0.5882,0.5,0.3333,0.0,16,2,0.5,0.6667,0.6667,0.3333,1
8,70.0,68.0,10,agree,1,0,60,0,60,0,1,1,0,ingroup,0,2,green,60,50,10,40,40,5,75,1.0,0.619,0.5,0.5,0.0,20,2,0.5,1.0,0.5556,0.5,1
8,56.0,58.0,60,agree,1,0,30,0,60,1,0,0,30,ingroup,0,2,green,60,50,10,40,40,5,75,1.0,0.5652,0.4286,0.4286,0.42857142857142855,22,2,0.4286,1.0,0.5556,0.4286,1
8,49.0,56.0,30,agree,3,1,15,1,20,1,1,1,5,outgroup,0,2,green,60,50,10,40,40,5,75,0.7143,0.5833,0.5714,0.4286,0.058823529411764705,23,2,0.5714,0.7143,0.4444,0.4286,1
8,84.0,78.0,40,agree,3,0,50,0,50,0,1,1,0,outgroup,0,2,green,60,50,10,40,40,5,75,0.75,0.5769,0.625,0.5,0.0,25,2,0.625,0.75,0.5556,0.5,1
8,55.0,56.0,10,disagree,4,1,60,1,20,1,1,1,-40,outgroup,0,2,green,60,50,10,40,40,5,75,0.5,0.5926,0.5,0.25,-0.6666666666666666,26,2,0.5,0.5,0.5556,0.25,1
8,48.0,50.0,25,disagree,1,1,70,0,5,1,1,0,-65,ingroup,1,2,green,60,50,10,40,40,5,75,0.875,0.5714,0.375,0.375,-0.9285714285714286,27,2,0.375,0.875,0.6667,0.375,1
8,56.0,58.0,40,agree,3,1,50,1,50,1,1,1,0,outgroup,0,2,green,60,50,10,40,40,5,75,0.7778,0.5862,0.6667,0.5556,0.0,28,2,0.6667,0.7778,0.5556,0.5556,1
